Policy Name,Compartment ID,Statement,Lifecycle State,Time Created
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read vaults in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read keys in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read compartments in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read tenancies in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read audit-events in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read compute-management-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read instance-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read virtual-network-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read volume-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read database-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read object-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read load-balancers in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read users in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read groups in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read policies in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read dynamic-groups in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read authentication-policies in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to use network-security-groups in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read data-safe-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read autonomous-database-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read log-groups in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read data-safe-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to read autonomous-database-family in tenancy,ACTIVE,2023-03-15T08:41:58.523000+00:00
ConnectorPolicy_loggingAnalytics_2023-07-26T12.21.33.071Z,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,"allow any-user to {LOG_ANALYTICS_LOG_GROUP_UPLOAD_LOGS}  in compartment id ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq where all {request.principal.type='serviceconnector',  target.loganalytics-log-group.id='ocid1.loganalyticsloggroup.oc1.eu-frankfurt-1.amaaaaaao7vto7ialzybrao7bu4tybwi43wyntfszpgturnyvsjl7db4bama', request.principal.compartment.id='ocid1.compartment.oc1..aaaaaaaakvvwpwhlr6x7gu2hbh7yzwcvnwmjufgpavm7yhsrsh3vgah6rphq'}",ACTIVE,2023-07-26T12:21:33.178000+00:00
ConnectorPolicy_monitoring_2023-04-28T08.39.04.337Z,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,"allow any-user to read metrics in tenancy  where all {request.principal.type='serviceconnector',  request.principal.compartment.id='ocid1.compartment.oc1..aaaaaaaaqslj6tdy6np37cjtxywtv44acpwowp5enkeuukg46fjvkea23dca', target.compartment.id in ('ocid1.compartment.oc1..aaaaaaaaqslj6tdy6np37cjtxywtv44acpwowp5enkeuukg46fjvkea23dca')}",ACTIVE,2023-04-28T08:39:03.095000+00:00
ConnectorPolicy_objectStorage_2025-10-09T12.07.27.275Z,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,"allow any-user to manage objects in compartment id ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq where all {request.principal.type='serviceconnector', target.bucket.name='mybucket2', request.principal.compartment.id='ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq'}",ACTIVE,2025-10-09T12:07:27.497000+00:00
ConnectorPolicy_objectStorage_2025-10-09T12.07.27.275Z,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,"allow any-user to read metrics in tenancy where all {request.principal.type='serviceconnector', request.principal.compartment.id='ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq', target.compartment.id in ('ocid1.compartment.oc1..aaaaaaaafcu5wdt6xwin62kqy3ze62yp47mmideo3udz2esdlbiapkd5ztra')}",ACTIVE,2025-10-09T12:07:27.497000+00:00
cost_management_emad_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service metering_overlay to manage objects in tenancy,ACTIVE,2024-03-20T13:35:44.009000+00:00
cost_management_emad_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,"Allow service blockstorage, objectstorage-eu-frankfurt-1, oke, streaming to use keys in tenancy",ACTIVE,2024-03-20T13:35:44.009000+00:00
cost_management_emad_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow group Administrators to manage vss-family in tenancy,ACTIVE,2024-03-20T13:35:44.009000+00:00
cost_management_emad_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service vulnerability-scanning-service to manage instances in tenancy,ACTIVE,2024-03-20T13:35:44.009000+00:00
cost_management_emad_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service vulnerability-scanning-service to read compartments in tenancy,ACTIVE,2024-03-20T13:35:44.009000+00:00
cost_management_emad_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service vulnerability-scanning-service to read vnics in tenancy,ACTIVE,2024-03-20T13:35:44.009000+00:00
cost_management_emad_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service vulnerability-scanning-service to read vnic-attachments in tenancy,ACTIVE,2024-03-20T13:35:44.009000+00:00
CostManagement,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,define tenancy usage-report as ocid1.tenancy.oc1..aaaaaaaamhmra7tjzxzaronywihwj4ibgnifs27nxr5nvemeemmwtrtatr2q,ACTIVE,2024-02-08T17:50:40.517000+00:00
CostManagement,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,endorse group LABS-group to read objects in tenancy usage-report,ACTIVE,2024-02-08T17:50:40.517000+00:00
Cross-tenancy-ADB-replication,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Define tenancy emeaisv as ocid1.tenancy.oc1..aaaaaaaaibrpsc2fhjxvmbla6gu327mkldqwaabj37gzhgorkfw4q46tznva,ACTIVE,2024-05-17T13:31:43.644000+00:00
Cross-tenancy-ADB-replication,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Endorse group LABS-group to manage autonomous-database-family in tenancy emeaisv,ACTIVE,2024-05-17T13:31:43.644000+00:00
Data-Science,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service datascience to use virtual-network-family in tenancy,ACTIVE,2025-01-29T15:29:05.692000+00:00
db_policy_london_uksouth,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow group Administrators to manage database-family in tenancy,ACTIVE,2025-04-07T08:40:18.675000+00:00
demo-compute-instance-policy,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow dynamic-group demo-compute-dyngrp to use autonomous-database-family in compartment id ocid1.compartment.oc1..aaaaaaaatvvuuteq5gtr73m2loyvw5qarlyiv4r44rgjl4dgdim7vogjunlq,ACTIVE,2025-06-15T20:25:39.624000+00:00
demo-compute-instance-policy,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow dynamic-group demo-compute-dyngrp to read objectstorage-namespaces in compartment id ocid1.compartment.oc1..aaaaaaaatvvuuteq5gtr73m2loyvw5qarlyiv4r44rgjl4dgdim7vogjunlq,ACTIVE,2025-06-15T20:25:39.624000+00:00
demo-compute-instance-policy,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow dynamic-group demo-compute-dyngrp to inspect buckets in compartment id ocid1.compartment.oc1..aaaaaaaatvvuuteq5gtr73m2loyvw5qarlyiv4r44rgjl4dgdim7vogjunlq,ACTIVE,2025-06-15T20:25:39.624000+00:00
demo-compute-instance-policy,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow dynamic-group demo-compute-dyngrp to read objects in compartment id ocid1.compartment.oc1..aaaaaaaatvvuuteq5gtr73m2loyvw5qarlyiv4r44rgjl4dgdim7vogjunlq,ACTIVE,2025-06-15T20:25:39.624000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,"allow group LABS-billing to manage all-resources in compartment LABS:emad.masoud:Demo where any {request.permission!='POLICY_DELETE', request.permission!='POLICY_CREATE', request.permission!='POLICY_UPDATE'}",ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service ngfw-sp-prod to read secret-family in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group dynamic_emad to manage object-family in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group dynamic_emad to manage buckets in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group dynamic_emad to manage objects in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group dynamic_emad to manage stream-family in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service objectstorage-eu-frankfurt-1 to manage object-family in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service faas to manage instance-family in compartment LABS:catalin.nedelcu,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group dynamic_emad to use instance-agent-command-execution-family in compartment LABS:catalin.nedelcu,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service keymanagementservice to manage vaults in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service vulnerability-scanning-service to read repos in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
emad_avaloq_test,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service vulnerability-scanning-service to read compartments in tenancy,ACTIVE,2024-04-25T10:24:45.708000+00:00
finops_mtorne_focus,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,define tenancy usage-report as ocid1.tenancy.oc1..aaaaaaaaned4fkpkisbwjlr56u7cj63lf3wffbilvqknstgtvzub7vhqkggq,ACTIVE,2025-10-15T07:33:39.601000+00:00
finops_mtorne_focus,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,endorse dynamic-group Finops_mtorne_yss_cmp to read objects in tenancy usage-report,ACTIVE,2025-10-15T07:33:39.601000+00:00
gg_iam,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,"allow service goldengate to {idcs_user_viewer, domain_resources_viewer} in tenancy",ACTIVE,2024-06-05T10:27:04.093000+00:00
hellde-oke-cluster-tenancy-policies-13Gd,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group hellde-oke-cluster-dg-13Gd to read metrics in tenancy,ACTIVE,2025-04-03T17:39:35.247000+00:00
hellde-oke-cluster-tenancy-policies-13Gd,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group hellde-oke-cluster-dg-13Gd to read compartments in tenancy,ACTIVE,2025-04-03T17:39:35.247000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to manage clusters in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal  to manage load-balancers in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to use virtual-network-family in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to manage cabundles in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to manage cabundle-associations in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to manage leaf-certificates in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to read leaf-certificate-bundles in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to manage leaf-certificate-versions in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to manage certificate-associations in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to read certificate-authorities in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to manage certificate-authority-associations in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to read certificate-authority-bundles in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to read public-ips in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
instance_principal,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group instance_principal to manage floating-ips in tenancy,ACTIVE,2025-07-12T08:13:57.807000+00:00
